system,dataset,fold,MAPE,MAE,RMSE
batlik,corona.csv,0,0.03354037246435481,0.048215213852624096,0.06292259293874325
batlik,corona.csv,1,0.03673638263033865,0.0556866688032945,0.0767023625298095
batlik,corona.csv,2,0.031457480449662324,0.045646348812927805,0.06226580499540588
batlik,corona.csv,3,0.03076888201738223,0.04614683954666058,0.06109489563981265
batlik,corona.csv,4,0.03134376530717022,0.04453779916539204,0.05894422595494797
batlik,cranium.csv,0,0.02090371343823208,0.04166897820929686,0.05479790324681151
batlik,cranium.csv,1,0.018818332036404078,0.03847621846944094,0.05160257432130659
batlik,cranium.csv,2,0.019723956979109437,0.0396183899914225,0.05158263142592364
batlik,cranium.csv,3,0.01998597172461972,0.03909959923475981,0.05267815041997271
batlik,cranium.csv,4,0.01895707444512734,0.0382890405605107,0.0500841641343126
batlik,cubus.csv,0,0.019805620834361597,0.12323343629638354,0.16490607018126033
batlik,cubus.csv,1,0.01933782629495188,0.12049305190642674,0.15451588207270486
batlik,cubus.csv,2,0.018631446103898604,0.11517335847020149,0.14738929988140637
batlik,cubus.csv,3,0.02118874619298769,0.1311590038239956,0.16253041220453365
batlik,cubus.csv,4,0.01765145435432818,0.10970948445890343,0.13964165992505903
batlik,flame.csv,0,0.01790437226984335,0.03221583397438129,0.04069786738426966
batlik,flame.csv,1,0.020452746673735377,0.03718591636667649,0.04796605415621723
batlik,flame.csv,2,0.021048723915234446,0.03762504830956459,0.04856011117600631
batlik,flame.csv,3,0.022593426510148784,0.03915675605336825,0.04985225214493454
batlik,flame.csv,4,0.018633694068434927,0.03458838798981111,0.045675376676530426
batlik,france.csv,0,0.02195309354467957,0.07813364701966445,0.1005093403687643
batlik,france.csv,1,0.02078751512396244,0.0721970417847236,0.09319037498359886
batlik,france.csv,2,0.020928806494567045,0.07491117405394714,0.0979732183893942
batlik,france.csv,3,0.022259017157657702,0.08044264403482278,0.10438755813051345
batlik,france.csv,4,0.02328723223461009,0.08058558431680146,0.10391850136493935
batlik,frisco.csv,0,0.03244934072123245,0.1487104600916306,0.19647698039005834
batlik,frisco.csv,1,0.03384994509198821,0.15809195737044016,0.20213807571385625
batlik,frisco.csv,2,0.03148824997233632,0.1454739235341549,0.18872663223138217
batlik,frisco.csv,3,0.036555660005877615,0.16567320314546427,0.20877557489819287
batlik,frisco.csv,4,0.03309953426151171,0.15563246101996916,0.20127632531258666
batlik,jelly.csv,0,0.024132298067106428,0.05030584676812092,0.08914073807669148
batlik,jelly.csv,1,0.022000202451295695,0.03951888935019573,0.057247603070578613
batlik,jelly.csv,2,0.023764927845494655,0.04825054450581471,0.0923626533492509
batlik,jelly.csv,3,0.02415183783606965,0.045205412432551384,0.06697377299666775
batlik,jelly.csv,4,0.023161027573633357,0.041280018131664466,0.06360190203261863
batlik,karte.csv,0,0.018973923982327487,0.22926034654180208,0.29249774538404544
batlik,karte.csv,1,0.019967017522734398,0.24702555437882742,0.3211139346168748
batlik,karte.csv,2,0.018590570274492974,0.23207959160208702,0.30293992373525674
batlik,karte.csv,3,0.018231187573512043,0.22138216470678648,0.2940680140369696
batlik,karte.csv,4,0.020188362508335615,0.25668735105748586,0.34983883920956266
batlik,mandelbrot.csv,0,0.027944556086947705,0.03579134959727526,0.046230141524855654
batlik,mandelbrot.csv,1,0.02032515550118741,0.02634209922204415,0.03395255899956046
batlik,mandelbrot.csv,2,0.020887907716767944,0.026651680779953797,0.034368471971307456
batlik,mandelbrot.csv,3,0.021755087494183967,0.028311922835807007,0.03536763479447143
batlik,mandelbrot.csv,4,0.02041440003039156,0.026788338357412473,0.03457169235079414
batlik,strawberry.csv,0,0.02481494148029852,0.038678789821763836,0.050641152736907995
batlik,strawberry.csv,1,0.023795992010241906,0.03787092429896196,0.0494319489302922
batlik,strawberry.csv,2,0.025511589742955202,0.0406731196368734,0.05229081584591099
batlik,strawberry.csv,3,0.02450099582644315,0.03935272712260485,0.048966839776710784
batlik,strawberry.csv,4,0.024867380377406132,0.04035804632749632,0.051510731135596455
batlik,village.csv,0,0.02112222417478474,0.10173759423196316,0.28696841451789296
batlik,village.csv,1,0.020682201361821476,0.10252377515037854,0.3338863103340683
batlik,village.csv,2,0.028162239418321338,0.11971100543936093,0.2526942841735326
batlik,village.csv,3,0.022106518921325684,0.0990479231501619,0.24137513631434615
batlik,village.csv,4,0.021829066165537793,0.10753946080220275,0.4095520661851083
dconvert,jpeg-large.csv,0,0.02424986495740246,0.08163964466438942,0.11783354962476901
dconvert,jpeg-large.csv,1,0.025721372412985326,0.086843076583992,0.1255193144934172
